STREAM VALUE,10TH,EQ,IQ,TOTAL,DATA,STREAM
100,79.98,14.25,16,34.43,1279.68,PCM
25,92,15.17,24,39.25,2208,Arts
100,79.16,16.27,20,36.51,1583.2,PCM
60,60.29,17.85,10,29.34,602.9,Commerce
60,56.53,15.02,5,24.14,282.65,Commerce
100,85.33,18.12,17,32.36,1450.61,PCM
60,80.88,16.8,15,35.16,1213.2,Commerce
100,82.62,15.52,21,39.25,1735.02,PCM
60,65.31,16.88,11,34.44,718.41,Commerce
60,71.05,15.15,10,21.24,710.5,Commerce
60,64.34,14.29,16,29.18,1029.44,Commerce
60,69.16,17.73,21,37.51,1452.36,Commerce
100,82.71,15.41,20,35.5,1654.2,PCM
100,75.96,13.71,6,33.34,455.76,PCB
100,63.66,14.01,16,15.83,1018.56,PCM
100,72.58,13.66,19,35.6,1379.02,PCM
100,92,16.24,22,39.25,2024,PCM
60,76.1,14.9,19,21.2,1445.9,Commerce
100,67.14,15.15,8,26.55,537.12,PCB
60,75.17,17.91,18,28.07,1353.06,Commerce
100,80.08,13.36,15,35.48,1201.2,PCB
100,67.19,16.37,14,39.09,940.66,PCM
60,74.81,16.71,17,36.5,1271.77,Commerce
100,89.24,14.84,18,36.67,1606.32,PCM
60,74.3,16.78,19,34.14,1411.7,Commerce
60,79.02,13.72,20,24.02,1580.4,Commerce
60,72.92,16.81,7,28.23,510.44,Commerce
60,68.74,16.26,10,23.35,687.4,Commerce
100,75.31,14.66,8,24.97,602.48,PCB
60,81.04,14.12,16,24.7,1296.64,Commerce
60,72.81,13.37,12,24.63,873.72,Commerce
25,78.48,13.27,9,34.73,706.32,Arts
25,81.84,14.38,22,34.91,1800.48,Arts
100,73,13.99,5,22.16,365,PCM
100,77.26,13.84,7,22.01,540.82,PCB
60,71.35,13.69,14,28.63,998.9,Commerce
100,85.65,14.87,14,38.89,1199.1,PCB
60,84.14,15.45,20,31.65,1682.8,Commerce
100,72.7,12.82,12,18.32,872.4,PCB
100,61.93,11.65,15,25.07,928.95,PCM
25,84.2,17.51,22,31.78,1852.4,Arts
60,60.42,15.67,19,28.7,1147.98,Commerce
60,82.03,18.18,19,29.08,1558.57,Commerce
100,76.65,14.79,16,28.15,1226.4,PCM
100,69.49,13.11,14,29.26,972.86,PCM
100,85.62,18.15,18,38.34,1541.16,PCB
100,69.78,15.74,21,29.71,1465.38,PCM
100,68.15,12.16,5,18.26,340.75,PCB
60,59.39,14.98,21,26.13,1247.19,Commerce
100,63.5,13.72,15,34.27,952.5,PCM
100,71.15,14.11,19,25.97,1351.85,PCM
100,87.88,16.86,21,35.67,1845.48,PCM
100,63.62,15.93,13,18.95,827.06,PCB
100,58.45,15.65,17,25.9,993.65,PCB
60,74.11,16.83,17,24.23,1259.87,Commerce
100,78.8,16.06,21,28.85,1654.8,PCB
100,71.16,15.71,20,28.48,1423.2,PCM
100,79.95,14.46,16,26.08,1279.2,PCM
100,81.09,14.33,15,27.89,1216.35,PCB
60,54.54,16.11,1,17.53,54.54,Commerce
25,55.51,15.35,19,32.34,1054.69,Arts
60,54.67,16.57,4,17.92,218.68,Commerce
100,74.46,13.03,12,15.39,893.52,PCB
100,81.85,16.31,14,31.88,1145.9,PCB
100,80.6,14.43,19,34.6,1531.4,PCB
100,84.19,15.88,24,32.85,2020.56,PCM
100,82.31,16.19,18,28.45,1481.58,PCM
60,64.51,16.89,17,20.47,1096.67,Commerce
100,75.51,18.25,20,38.72,1510.2,PCM
60,86.46,18.25,19,39.25,1642.74,Commerce
100,72.73,12.75,13,21.54,945.49,PCM
100,76.84,12.24,16,39.25,1229.44,PCM
60,69.49,17.46,16,24.98,1111.84,Commerce
100,74.84,14.98,22,33.78,1646.48,PCB
60,67.48,13.61,6,25.69,404.88,Commerce
100,80.97,16.31,22,38.53,1781.34,PCM
100,75.47,16.65,16,33.58,1207.52,PCM
25,76.98,13.24,24,33.07,1847.52,Arts
60,76.8,13.92,7,20.61,537.6,Commerce
60,78.14,16.37,22,26.54,1719.08,Commerce
25,83.66,16.7,19,37.27,1589.54,Arts
60,79.9,15.9,23,31.45,1837.7,Commerce
60,74.54,13.88,17,34.43,1267.18,Commerce
100,79.91,14.95,20,36.6,1598.2,PCB
60,67.88,17.39,6,14.8,407.28,Commerce
100,71.96,17.22,16,16.32,1151.36,PCM
60,72.21,14.08,14,21.17,1010.94,Commerce
60,66.02,13.58,20,22.76,1320.4,Commerce
100,79.21,14.13,18,26.84,1425.78,PCM
100,76.32,17.31,15,27.95,1144.8,PCM
100,87.34,16.71,9,25.21,786.06,PCB
100,79.88,14.93,15,29.13,1198.2,PCB
25,78.99,17.45,23,37.01,1816.77,Arts
60,78.13,17.38,17,24.63,1328.21,Commerce
100,71.72,15.65,18,26.89,1290.96,PCM
60,61.53,15.85,8,22.88,492.24,Commerce
100,76.95,16.68,18,38.5,1385.1,PCB
25,82.52,15.65,15,27.5,1237.8,Arts
60,71.03,18.06,16,31.78,1136.48,Commerce
100,60.8,16.4,13,25.43,790.4,PCB
25,67.86,17.88,16,33.78,1085.76,Arts
60,76.45,15.89,21,34.8,1605.45,Commerce
60,67.44,13.22,7,23.62,472.08,Commerce
100,69.85,14.15,19,33.6,1327.15,PCM
60,65.52,13.06,7,21.57,458.64,Commerce
60,71.79,14.2,15,31.78,1076.85,Commerce
60,64.8,13.9,14,20.99,907.2,Commerce
100,76.73,16.2,13,22.04,997.49,PCB
25,77.72,16.55,17,35.85,1321.24,Arts
60,75.25,15.4,14,29.21,1053.5,Commerce
100,82.82,17.8,18,23.33,1490.76,PCM
100,76.65,18.25,17,21.05,1303.05,PCB
60,82.44,15.18,5,27.28,412.2,Commerce
60,77.71,16.95,23,24.79,1787.33,Commerce
100,75.64,13.17,12,22.23,907.68,PCB
60,66.41,14.05,22,31.94,1461.02,Commerce
100,78.96,18.25,20,33.22,1579.2,PCB
60,79.63,16.57,21,37.79,1672.23,Commerce
60,49.3,15.44,5,19.93,246.5,Commerce
100,69.77,14.69,17,19.99,1186.09,PCB
60,61.14,16.34,11,26.34,672.54,Commerce
60,53.94,18.25,11,23.57,593.34,Commerce
100,87.26,15.38,21,22.61,1832.46,PCM
60,64.66,15.92,14,22.64,905.24,Commerce
100,82,16.1,15,33.13,1230,PCM
100,88.46,16.39,16,38.47,1415.36,PCM
100,65.36,14.98,18,28.57,1176.48,PCM
100,83.48,15.8,22,35.24,1836.56,PCM
100,68.15,14.82,21,29.77,1431.15,PCM
100,75.77,17.89,20,24.93,1515.4,PCM
100,60.81,13.92,17,31.73,1033.77,PCM
100,53.54,15.76,14,16.92,749.56,PCB
100,68.62,17.38,13,26.64,892.06,PCM
100,50.87,14.73,7,15.47,356.09,PCB
60,61.07,14.22,11,24.82,671.77,Commerce
60,63.26,16.1,0,19.02,0,Commerce
25,58.55,16,20,36.87,1171,Arts
25,69.56,16.14,21,35.41,1460.76,Arts
25,83.48,18.25,18,39.25,1502.64,Arts
100,74.32,15.9,17,28.6,1263.44,PCM
100,83.05,14.51,12,22.56,996.6,PCB
100,72.21,13.79,5,19.2,361.05,PCB
25,73.75,15.88,10,31.65,737.5,Arts
100,90.4,14.66,18,39.25,1627.2,PCM
60,67.76,15.56,7,27.01,474.32,Commerce
100,79.26,17.95,21,29.53,1664.46,PCM
60,59.64,15.22,0,24.47,0,Commerce
100,87.13,17.1,22,39.25,1916.86,PCB
60,74.06,17.34,5,27.11,370.3,Commerce
60,77.19,16.51,19,39.25,1466.61,Commerce
100,83.81,17.77,19,37.76,1592.39,PCB
25,87.17,17.9,21,39.25,1830.57,Arts
100,82.08,16.55,19,26.54,1559.52,PCM
100,65.49,14.8,12,23.52,785.88,PCM
60,72.92,18.25,15,37.04,1093.8,Commerce
60,59.62,13.48,3,20.84,178.86,Commerce
60,68.08,13.55,21,35,1429.68,Commerce
60,73.79,16.76,7,21.75,516.53,Commerce
60,82.64,15.95,16,31.03,1322.24,Commerce
100,85.67,14.63,19,31.02,1627.73,PCB
60,65.94,14.46,14,25.14,923.16,Commerce
100,65.47,12.92,19,34.03,1243.93,PCM
100,78.57,16.59,20,27.11,1571.4,PCM
60,69.59,18.07,11,31.2,765.49,Commerce
100,79.46,16.56,20,21.94,1589.2,PCM
100,78.6,14.39,20,38.62,1572,PCB
60,60.83,17.62,4,27.74,243.32,Commerce
60,76.63,14.64,0,17.07,0,Commerce
100,73.3,17.41,22,24.93,1612.6,PCB
60,60.52,12.22,19,12.5,1149.88,Commerce
100,61.64,15.28,15,32.86,924.6,PCB
100,75.07,16.48,13,27.61,975.91,PCB
100,67.19,15.24,14,22.34,940.66,PCB
100,81.27,14.52,13,34.23,1056.51,PCM
100,86.68,13.89,16,19.41,1386.88,PCM
60,88.01,15.51,20,39.25,1760.2,Commerce
100,72.37,15.7,5,25.87,361.85,PCB
100,73.51,17.15,14,27.69,1029.14,PCB
60,71.31,14.77,20,34.43,1426.2,Commerce
100,64.4,14.37,15,30.14,966,PCM
100,74.17,11.93,19,26.72,1409.23,PCM
100,79.21,14.44,8,22.18,633.68,PCB
100,58.26,14.07,5,18.89,291.3,PCB 
100,68.17,16.71,13,21.47,886.21,PCB
60,65.99,15.32,17,23.95,1121.83,Commerce
100,74.02,16.11,15,20.54,1110.3,PCM
60,75.99,15.93,15,20.94,1139.85,Commerce
100,82.49,13.73,21,27.17,1732.29,PCB
100,63.95,12.76,7,17.11,447.65,PCB
100,79.58,11.86,18,34.1,1432.44,PCM
100,79.88,15.18,14,25.88,1118.32,PCM
100,80.45,14.61,13,29.86,1045.85,PCB
25,71.6,14.64,19,25.01,1360.4,Arts
100,69.68,12.39,21,32.93,1463.28,PCM
100,56.81,14.8,2,24.95,113.62,PCB
100,78.19,15.5,7,19.11,547.33,PCB
60,58.46,15.99,11,21.89,643.06,Commerce
100,76.07,10.44,18,17.96,1369.26,PCM
60,65.76,13.92,0,25.75,0,Commerce
100,81.37,18.24,22,24.48,1790.14,PCM
60,62.17,13.83,14,23.51,870.38,Commerce
100,71.87,15.73,8,19.15,574.96,PCB
100,69.86,18.25,21,26.05,1467.06,PCB 
100,75.7,15.3,14,25.58,1059.8,PCB
25,67.59,16.38,21,30.45,1419.39,Arts
60,58.37,14.21,10,16.51,583.7,Commerce
100,61.42,16.14,10,26.66,614.2,PCB
100,81.34,16.5,11,29.63,894.74,PCB
100,83.17,14.42,18,39.25,1497.06,PCM
100,64.05,14.67,14,20.67,896.7,PCB 
100,66.91,16.85,15,35.96,1003.65,PCM
100,74.68,15.09,18,22.52,1344.24,PCM
60,74.86,17.72,17,21.62,1272.62,Commerce
100,70.86,14.81,13,17.41,921.18,PCM
100,66.54,12.69,20,33.94,1330.8,PCB
100,85.87,13.53,24,38.3,2060.88,PCB
100,71.34,14.04,4,26.43,285.36,PCB
100,78.83,15.79,8,17.79,630.64,PCB
100,69.1,16.42,4,17.75,276.4,PCB
100,69.92,12.48,17,25.89,1188.64,PCM
60,69.29,16.59,21,36.66,1455.09,Commerce
60,68.6,17.02,10,33.33,686,Commerce
100,72.22,16.45,8,25.12,577.76,PCB
60,67.58,16.59,16,33.69,1081.28,Commerce
100,83.1,15.35,13,19.72,1080.3,PCB
100,75.98,15.63,11,19.37,835.78,PCB
25,62.33,17.94,20,33.24,1246.6,Arts
100,66.66,14.04,15,21.91,999.9,PCB
60,75.4,17.49,4,23.49,301.6,Commerce
100,78.92,15.32,5,19.24,394.6,PCB
100,85.55,12.64,15,31.59,1283.25,PCM
60,63.1,15.24,15,23.09,946.5,Commerce
60,76.06,15.99,16,25.9,1216.96,Commerce
60,65.62,15.16,7,12.5,459.34,Commerce
60,72.6,15.02,5,26.9,363,Commerce
60,69.07,14.52,12,13.38,828.84,Commerce
100,68.2,18.06,10,21.35,682,PCB
100,71.31,17.37,17,32.37,1212.27,PCB
100,82.23,16.27,20,26.16,1644.6,PCB
100,75.18,14.71,10,20.64,751.8,PCB
60,69.72,15.69,19,35.09,1324.68,Commerce
60,56.05,15.54,9,16.56,504.45,Commerce
25,65.45,17.17,21,25.65,1374.45,Arts
100,66.75,11.44,5,19.35,333.75,PCB
100,67.31,14.61,13,23.64,875.03,PCB
60,57.12,17.4,4,13.48,228.48,Commerce
60,71.35,14.92,5,21.51,356.75,Commerce
60,67.05,13.46,22,26.77,1475.1,Commerce
100,79.27,16.56,12,27.65,951.24,PCB
60,72.43,16.66,15,26.22,1086.45,Commerce
60,62.45,16.82,21,33.28,1311.45,Commerce
60,66.16,14.54,15,26.61,992.4,Commerce
60,62.77,15.68,12,25.19,753.24,Commerce
100,68.84,17.95,16,26.77,1101.44,PCM
60,76.54,15.15,20,34.54,1530.8,Commerce
60,68.28,14.41,20,28.55,1365.6,Commerce
60,73.79,14.49,15,17.37,1106.85,Commerce
100,81.83,16.02,21,24.41,1718.43,PCB
100,88.69,14.96,17,30.05,1507.73,PCB
100,68.4,16.72,3,21.67,205.2,PCB
100,58.35,15.16,17,29.79,991.95,PCM
100,81.53,14.72,9,34.16,733.77,PCB
60,72.72,15.56,18,35.28,1308.96,Commerce
100,71.05,16.62,23,36.44,1634.15,PCB
100,76.62,16.02,18,29.54,1379.16,PCM
60,63.63,15.96,18,29.46,1145.34,Commerce
60,68.24,15.72,17,24.02,1160.08,Commerce
60,81.77,16.74,17,39.25,1390.09,Commerce
100,85.47,15.47,20,26.37,1709.4,PCM
60,56.54,12.45,12,18.71,678.48,Commerce
60,72.83,18.15,23,33.64,1675.09,Commerce
100,57.05,16.19,9,19.59,513.45,PCB
100,61.42,13.82,13,35.79,798.46,PCB
100,58.1,14.27,21,22.43,1220.1,PCB
60,53.55,15.71,17,28.48,910.35,Commerce
60,62.69,18.25,17,23.39,1065.73,Commerce
100,63.22,15.93,15,17.17,948.3,PCB
25,75.14,17.29,24,39.25,1803.36,Arts
100,64.15,14.79,24,29.59,1539.6,PCB
60,60.51,14.4,22,28.67,1331.22,Commerce
100,65.12,12.5,16,37.45,1041.92,PCM
60,65.43,16.25,20,31.65,1308.6,Commerce
100,64.88,14.93,15,29.51,973.2,PCM
60,67.36,16.88,15,16.97,1010.4,Commerce
60,86.48,16.04,8,26.12,691.84,Commerce
100,70.52,16.54,19,30.86,1339.88,PCB
60,66.88,16.2,2,18.69,133.76,Commerce
60,70.16,15.1,22,23.54,1543.52,Commerce
60,53.77,13.27,16,19.26,860.32,Commerce
60,80.23,16.97,21,31.73,1684.83,Commerce
100,88.27,15.96,19,32.87,1677.13,PCB
60,68.16,15.69,2,29.97,136.32,Commerce
60,75.21,14.84,8,15.73,601.68,Commerce
100,84.54,16.91,19,38.94,1606.26,PCB
60,65.45,16.1,17,18.19,1112.65,Commerce
100,71.22,16.39,24,38.65,1709.28,PCM
60,73.81,17.22,13,27.99,959.53,Commerce
60,56.66,15.03,3,22.99,169.98,Commerce
100,79.07,13.93,13,25.4,1027.91,PCB
100,79.33,16.61,19,31.7,1507.27,PCM
100,76.12,16.88,19,26.52,1446.28,PCM
60,69.96,13.74,18,23.71,1259.28,Commerce
100,80.99,15.19,18,33.42,1457.82,PCM
100,56.46,15.81,9,21.92,508.14,PCB
100,84.42,12.95,18,27.9,1519.56,PCM
25,85.66,17.41,24,39.25,2055.84,Arts
60,74.9,15.96,8,29.03,599.2,Commerce
100,76.95,13.02,7,30.33,538.65,PCB
100,71.13,15.7,8,23.27,569.04,PCB
100,77.22,16.31,20,17.86,1544.4,PCM
100,56.08,13.57,9,22.98,504.72,PCB
60,64.29,15.46,6,26.78,385.74,Commerce
100,68.59,15.42,16,28.75,1097.44,PCB
60,81.79,14.08,23,39.25,1881.17,Commerce
60,80.86,17.46,14,25.36,1132.04,Commerce
100,54.18,14.8,14,20.49,758.52,PCM
100,66.58,14.52,12,30.08,798.96,PCB
100,81.48,15.61,16,29.22,1303.68,PCB
25,83.7,16.67,22,39.25,1841.4,Arts
100,74.17,18.22,8,22.54,593.36,PCB
100,87.07,12.99,19,30.8,1654.33,PCB
100,81.32,14.61,22,34.08,1789.04,PCM
100,78.14,16.86,10,33.54,781.4,PCB
100,68.36,14.1,16,23.11,1093.76,PCB
60,67.64,16.33,3,18.27,202.92,Commerce
60,69.64,14.66,8,30.69,557.12,Commerce
100,76.25,14.73,18,39.25,1372.5,PCM
25,74.64,16.53,21,21.54,1567.44,Arts
100,62.88,15.59,13,27.25,817.44,PCM
100,78.23,15.62,4,29.24,312.92,PCM
100,78.39,13.56,15,38.18,1175.85,PCB 
100,83.4,17.17,13,22.11,1084.2,PCB
60,64.25,13.27,6,27.11,385.5,Commerce
100,61.87,16.96,15,19.71,928.05,PCB
60,78.67,16.39,22,36.06,1730.74,Commerce
25,71.88,14.68,17,37.78,1221.96,Arts
100,62.08,13.06,9,20.61,558.72,PCB
60,64.2,14.37,16,22.92,1027.2,Commerce
100,91.71,15.65,18,31.64,1650.78,PCM
100,84.09,14.32,15,20.52,1261.35,PCB
60,70.36,12.9,22,13.55,1547.92,Commerce
100,65.61,15.94,10,22.15,656.1,PCB
60,70.14,15.65,12,28.56,841.68,Commerce
60,78.42,17.06,19,39.25,1489.98,Commerce
100,65.96,13.11,20,39.25,1319.2,PCB
100,81.38,15.24,20,25.72,1627.6,PCM
100,64,16.5,7,17.29,448,PCB
60,74.11,16.64,9,22.46,666.99,Commerce
100,81.05,14.86,15,36.54,1215.75,PCB
60,64.92,15.27,20,25.95,1298.4,Commerce
60,84.07,13.62,14,22.33,1176.98,Commerce
100,75.06,16.01,17,34.68,1276.02,PCB
100,63.75,13.79,13,22.63,828.75,PCB
100,84.59,12.82,10,28.65,845.9,PCB
100,78.48,18.25,19,26.32,1491.12,PCB
100,66.07,14.76,6,25.1,396.42,PCB
100,72.98,14.34,18,27.68,1313.64,PCM
60,78.29,18.25,21,39.25,1644.09,Commerce
60,55.9,16.36,12,17.72,670.8,Commerce
100,78.97,13.45,18,30.98,1421.46,PCM
60,58.97,13.65,9,21.22,530.73,Commerce
100,75.43,16.46,13,29.1,980.59,PCB
100,76.29,13.54,15,30.13,1144.35,PCB
60,69.89,13.1,11,20.16,768.79,Commerce
100,83.01,12.97,19,37.81,1577.19,PCM
100,64.36,13.73,20,28.17,1287.2,PCB
60,69.85,16.44,18,31.9,1257.3,Commerce
100,76.49,13.48,0,20.58,0,PCB
100,74.05,11.72,20,29.28,1481,PCM
100,73.54,16.33,7,25.5,514.78,PCB
100,85.36,16.14,20,39.25,1707.2,PCB
100,84.46,17,18,32.68,1520.28,PCM
60,67.06,16.36,6,25.75,402.36,Commerce
60,83.83,16.95,22,36.17,1844.26,Commerce
100,67.4,14.52,16,29.31,1078.4,PCM
100,63.29,15.71,15,26.69,949.35,PCB
60,74.88,15.02,15,31.94,1123.2,Commerce
60,66.31,17.72,17,26.13,1127.27,Commerce
100,84,15.72,16,35.86,1344,PCM
100,92,13.72,19,39.25,1748,PCM
25,74.92,13.78,14,25.99,1048.88,Arts
100,83.83,18.1,20,39.25,1676.6,PCM
100,71.83,15.18,15,18.3,1077.45,PCM
100,80.94,15.51,22,38.54,1780.68,PCM
100,80.45,16.73,10,33.06,804.5,PCB
60,69.7,15.13,14,28.82,975.8,Commerce
100,73.06,15.18,13,27.69,949.78,PCB
100,70.82,14.67,10,21.75,708.2,PCB
60,75.35,14.43,19,27.43,1431.65,Commerce
100,86.93,14.24,19,39.25,1651.67,PCM
100,77.53,16.14,8,29.06,620.24,PCB
25,74.46,17.13,20,39.25,1489.2,Arts
100,68.49,17.62,12,28.61,821.88,PCB
100,59.52,14.82,14,21.63,833.28,PCB 
100,75.2,15.28,16,14.22,1203.2,PCB
100,70.97,12.68,4,14.8,283.88,PCB
60,72.45,15.32,16,36.3,1159.2,Commerce
100,69.62,14.9,6,16.01,417.72,PCB
60,59.7,18.25,6,19.42,358.2,Commerce
100,83.13,11.12,16,24.36,1330.08,PCM
60,70.25,17.15,7,19.91,491.75,Commerce
100,74.69,13.82,12,32.87,896.28,PCB
60,72.74,14.01,10,15.07,727.4,Commerce
100,60.96,15,13,25.63,792.48,PCB
100,77.17,13.86,19,31.14,1466.23,PCM
100,77.87,15.56,7,14.2,545.09,PCB
100,66.34,13.09,15,17.25,995.1,PCB
60,57.8,15.89,9,18.65,520.2,Commerce
60,65.06,14.84,16,21.56,1040.96,Commerce
100,79.09,15.37,8,28.05,632.72,PCB
100,92,18.25,23,37.85,2116,PCB
60,75.19,15.19,15,24.12,1127.85,Commerce
100,86.33,18.18,18,34.4,1553.94,PCM
100,65.43,14.61,19,32.5,1243.17,PCM
100,75.69,15.34,13,25.5,983.97,PCB
60,60.76,14.72,16,23.4,972.16,Commerce
60,68.23,16.6,15,29.15,1023.45,Commerce
60,68.2,17.01,7,21.95,477.4,Commerce
100,77.67,14.81,5,22.02,388.35,PCB
100,88.35,13.53,18,28.17,1590.3,PCM
100,85.16,13.25,16,32.6,1362.56,PCB
100,72.13,16.98,8,27.51,577.04,PCB
60,71.89,14.4,15,21.11,1078.35,Commerce
60,72.05,13.97,9,35.86,648.45,Commerce
60,74.63,13.55,15,30.35,1119.45,Commerce
100,85.03,12.02,19,39.25,1615.57,PCM
60,77.52,16.47,17,26.58,1317.84,Commerce
100,77.1,17.3,20,33.98,1542,PCM
60,59.56,14.9,18,31.12,1072.08,Commerce
60,67.34,13,15,31.62,1010.1,Commerce
100,92,13.37,19,29.19,1748,PCM
60,73.43,16.74,24,34.2,1762.32,Commerce
100,70.17,15.73,8,28.88,561.36,PCB
100,69.15,16.99,19,29.36,1313.85,PCB
60,50.78,16.44,11,24.86,558.58,Commerce
100,86.56,16.69,8,30.77,692.48,PCB
60,75.22,15.23,12,30.06,902.64,Commerce
100,80.46,15.78,24,39.25,1931.04,PCB
25,79.2,16.94,20,39.25,1584,Arts
100,86.41,15.46,16,28.33,1382.56,PCM
60,70.59,16.38,19,19.01,1341.21,Commerce
100,68.39,14.89,17,25.05,1162.63,PCB
100,89.19,12.87,16,39.25,1427.04,PCM
60,60.16,14.52,7,12.5,421.12,Commerce
100,76.9,17.56,24,24.73,1845.6,PCB
100,69.33,15.02,12,28.37,831.96,PCB
100,88.28,16.63,20,28.92,1765.6,PCB
100,85.32,15.13,21,34.75,1791.72,PCB
100,77.24,17.19,3,18.02,231.72,PCB
100,79.33,17.24,11,18.52,872.63,PCB
100,79.17,16.98,9,25.27,712.53,PCB
100,60.67,15.12,4,14.59,242.68,PCB
100,75.65,14.28,12,27.96,907.8,PCB
60,65.13,13.85,4,14.57,260.52,Commerce
100,72.8,14.58,7,19.7,509.6,PCB
100,56.87,16.64,5,31.68,284.35,PCB 
100,85.9,14.21,12,19.85,1030.8,PCB
100,61.04,18.25,21,27.76,1281.84,PCB
100,64.25,16.44,13,23.24,835.25,PCB
100,89.23,12.7,22,26.78,1963.06,PCB
100,57.89,16.95,4,16.96,231.56,PCB
60,69.25,13.45,17,18.6,1177.25,Commerce
100,53.35,17.49,13,23.16,693.55,PCB
60,67.39,16.85,5,22.4,336.95,Commerce
60,73.1,15.47,17,33.45,1242.7,Commerce
100,84.29,16.26,18,38.43,1517.22,PCB
100,77.57,15,21,31.12,1628.97,PCB
60,66.28,16.25,6,27.57,397.68,Commerce
100,74.13,15.64,16,31.51,1186.08,PCM
60,67.11,12.15,9,18.14,603.99,Commerce
100,80.76,14.99,23,39.25,1857.48,PCM
100,77.08,14.71,0,24.04,0,PCB
100,63.19,14.66,12,23.93,758.28,PCB
100,74.34,14.79,12,24.29,892.08,PCB
100,68.08,14,20,39.25,1361.6,PCM
100,83.66,15.16,10,24.51,836.6,PCB
60,71.38,12.99,14,29.73,999.32,Commerce
25,67.99,16.4,22,36.05,1495.78,Arts
100,77.61,15.74,20,21.15,1552.2,PCB
100,58,14.74,8,24.51,464,PCB
100,87.87,13.81,17,39.09,1493.79,PCM
60,58.73,14.47,15,20.19,880.95,Commerce
100,76.2,15.59,18,31.35,1371.6,PCM
60,80.45,13.9,6,23.79,482.7,Commerce
100,73.04,16.27,9,24.99,657.36,PCB
100,69.67,12.93,14,32.61,975.38,PCM
100,61.01,15.19,11,21.26,671.11,PCB
100,92,16.7,22,39.25,2024,PCM
60,68.55,14.49,20,19.65,1371,Commerce
60,66.97,14.86,10,20.43,669.7,Commerce
60,66.72,14.02,15,26.42,1000.8,Commerce
100,82.28,16.31,0,32.1,0,PCB
100,75.02,16.36,13,23.85,975.26,PCM
100,79.67,16.29,21,23.81,1673.07,PCM
100,75.68,15.05,13,28.32,983.84,PCB
60,78.84,15.81,18,28.08,1419.12,Commerce
100,80.28,14.94,7,21.87,561.96,PCB
60,62.94,16.4,3,22.36,188.82,Commerce
60,63.95,16.54,11,14.37,703.45,Commerce
100,81.65,16.24,19,36.16,1551.35,PCM
100,74.4,15.55,14,30.71,1041.6,PCB
100,78.87,15.6,12,21.41,946.44,PCB
25,62.58,17.37,22,39.25,1376.76,Arts
100,72.34,12.76,7,26.93,506.38,PCB
60,83,15.23,21,32.18,1743,Commerce
60,63.23,15.04,19,17.81,1201.37,Commerce
60,52.93,15.07,6,25.79,317.58,Commerce
100,81.39,16.12,18,30.34,1465.02,PCB
100,81.36,14.79,14,26.97,1139.04,PCB
100,76.25,16.34,23,39.25,1753.75,PCB
60,62.18,16.12,11,23.86,683.98,Commerce
100,84.64,16.94,20,35.06,1692.8,PCM
100,72.58,12.48,20,25.13,1451.6,PCM
25,73.35,15.65,19,32.4,1393.65,Arts
60,75.79,15.47,12,23.55,909.48,Commerce
25,72.8,16.81,21,36.35,1528.8,Arts
100,83.89,16.23,24,34.72,2013.36,PCM
100,66.09,17.06,16,20.65,1057.44,PCB
100,68.36,15.53,19,31.3,1298.84,PCB
100,62.14,15.26,5,13.51,310.7,PCB
100,77.1,15.24,20,31.74,1542,PCB
100,76.94,14.44,18,20.47,1384.92,PCB
60,76.25,16.7,20,31.62,1525,Commerce
100,68.46,18.2,18,30.59,1232.28,PCB
100,74.7,15.12,8,17.63,597.6,PCB
100,81.29,13.75,18,27.64,1463.22,PCB
100,84.36,15.14,16,23.81,1349.76,PCM
100,75.34,11.63,16,33.74,1205.44,PCM
60,54.52,15.89,2,14.18,109.04,Commerce
25,78.43,16.14,20,29.66,1568.6,Arts
100,77.06,15.18,19,30.95,1464.14,PCB
60,70.27,16.62,19,32.93,1335.13,Commerce
100,88.55,15.95,20,30.84,1771,PCM
60,52.18,13.71,13,12.5,678.34,Commerce
60,74.4,13.87,22,37.89,1636.8,Commerce
100,77.11,14.47,21,32.19,1619.31,PCB
25,69.62,16.36,18,29.19,1253.16,Arts
25,79.76,16.01,18,39.25,1435.68,Arts
100,73.51,15.52,9,23.59,661.59,PCB
60,57.94,13.45,2,26.78,115.88,Commerce
60,60.45,16.52,20,29.05,1209,Commerce
100,73.34,15.28,8,18.73,586.72,PCB
60,54.75,14.56,17,30.97,930.75,Commerce
60,80.66,13.34,16,27.72,1290.56,Commerce
100,92,16.97,16,16.88,1472,PCB
60,71.21,14.67,7,21.27,498.47,Commerce
60,73.17,17.11,7,28.77,512.19,Commerce
100,69.49,15.49,10,23.58,694.9,PCB
60,67.7,16.36,2,12.5,135.4,Commerce
60,73.41,15.84,2,33.66,146.82,Commerce
100,86.21,17.86,17,29.37,1465.57,PCB
25,92,16.13,24,39.25,2208,Arts
100,81.75,15,20,39.25,1635,PCM
100,83.38,14.38,22,30.52,1834.36,PCM
60,71.11,13.53,7,34.5,497.77,Commerce
60,71.57,16.15,15,19.83,1073.55,Commerce
60,75.61,14.44,18,33.07,1360.98,Commerce
60,61.33,14.85,20,28.68,1226.6,Commerce
100,92,13.21,16,30.8,1472,PCM
60,60.53,15.3,6,18.14,363.18,Commerce
100,69.13,17.33,19,27.98,1313.47,PCB
100,70.86,14.31,19,30.18,1346.34,PCM
100,74.03,17.37,11,22.94,814.33,PCB
100,81.09,12.35,5,20.39,405.45,PCB
