10th,12th,IQ ,O,C,E,A,N,STREAM
97.76,81.61,20,43.1,66.3,26.7,60.7,27.9,Commerce
92.31,77,32,46.9,90,44.9,42.2,42.3,PCB
68.82,80.12,42,52.3,44.2,45,58.4,37.2,Arts
97.83,74.51,15,40.5,79,52.7,69.6,25,Commerce
93.86,77.88,13,55.2,47.6,56.5,56.7,38.6,Commerce
92.53,80.47,18,54.5,12.5,53.5,32.6,30.7,Commerce
65,73.85,22,52.8,79.2,36.6,55.4,31.9,Commerce
92.7,78.27,41,73.9,87.6,71.6,80.6,39.1,PCB
93.7,51.11,4,47.8,54.7,29.8,72,51.1,PCB
93.33,79.75,16,60.3,53.1,52.1,53.5,26.3,Commerce
94.62,52.51,33,53.6,56.7,51.9,58.7,35.6,Commerce
90.04,82.38,53,39.5,56.1,51.8,38.4,64.4,Commerce
90.93,76.11,22,53.7,81.6,53.9,67.5,42,PCM
98.99,77.57,27,54.4,58.6,96.7,74.1,30,PCB
89.99,76.68,19,59,47.6,44,74.5,23,PCM
75.33,89.62,52,70.8,63.1,50.6,72.5,60,Commerce
97.23,80.5,27,60,45.6,80.5,73,40.7,PCB
97.07,76.88,30,71.3,94.2,64.5,76.1,23,PCM
69.43,78.36,22,43.2,76.9,49.8,54.6,36,Arts
97.61,53.48,44,48.6,47.9,30.7,48.9,23,PCB
93.8,79.92,19,78.8,88.9,79.9,65.7,23,PCB
81.81,78,20,47.7,33.7,41.5,88.9,23,PCB
90.03,78.33,66,63,92.7,64.1,77,32.3,PCM
80.77,89.61,24,47.3,43.2,46.6,55.3,62.9,Commerce
93.75,79.44,25,54.8,76.3,53.9,96.4,28.3,Commerce
84.18,48.88,20,46.3,43.1,45.5,50.9,39.3,Commerce
96.35,75.06,14,64.4,46.5,86.4,59.2,38.2,PCB
89.26,75.96,22,54.5,64.1,66.6,87.7,23,PCB
95.09,76.18,60,55.2,81,73.1,72.9,23,PCB
76.4,75.06,50,56.8,58.1,29,71.4,61.6,PCM
87.92,43.21,23,63,39,32.8,66.9,55.2,Commerce
94.39,78.16,59,42.1,87.3,58.5,57.7,23.9,Commerce
93.81,74.32,16,54.2,74.3,49.3,47.5,23,Commerce
87.22,78.03,26,41.3,90.7,56.8,62.7,32.1,Commerce
91.68,79.29,7,35,62.4,25.4,44.6,45.5,PCM
87.56,79.11,9,60.6,52,43.8,43.1,23,Commerce
90.39,76.8,44,47.6,63,24.9,73.8,56.2,Arts
95.91,75.59,22,66.9,76.2,40.5,75.6,29.7,Commerce
95.97,81.01,12,45,80.6,55,73.8,23.6,PCB
89.19,75.48,75,70.1,82,61.2,79.2,23,PCM
89.95,76.83,7,46,56,50.3,80.4,38.2,PCB
91.76,79.44,72,44.2,50,50.7,72.6,52.5,Commerce
96.39,76.27,34,42.3,68,50,63.2,52.3,Commerce
99.22,78.22,19,38.2,38.7,48.6,61.1,35.2,Commerce
99.22,77.2,47,45,70.3,46.3,51.3,54.2,Commerce
94.65,77.66,13,46.7,49.1,29.2,61.3,24.5,Commerce
88.11,43.81,66,74.1,50.4,57.3,66.7,45.8,PCM
98.02,78.01,24,79.1,86.6,70,87.7,43.4,PCM
99.22,75.75,17,53.8,42.4,22.7,71.7,37.6,Commerce
90.96,78.72,16,45.2,49.8,49.9,63,30.9,Arts
89.88,44.25,36,56.9,64,44.9,54.7,49.2,PCM
84.09,76.35,69,36.7,69.9,45.2,48.9,31.8,PCB
99.22,76.29,10,67,81.8,76.7,60.7,23,Commerce
72.41,80.68,55,52.2,77.8,91.5,81.4,23,PCM
88.71,77.87,7,71,75,68.9,69.4,51.5,PCB
82.8,79.37,41,54.8,93.1,59.8,52.3,47.2,Commerce
87.44,79.36,82,95.2,77,75.6,83.1,42.8,Commerce
87.52,83.25,3,51.1,39.6,74.2,78.7,30.6,Commerce
94.38,80.65,80,72.9,48.5,50.1,61.2,40.5,PCB
88.69,75.79,35,43.4,36.3,53.1,68.6,23,Arts
76.64,47.07,21,59.6,73.1,31.1,48.6,54.6,PCM
97.61,78.74,26,54.1,51.7,56,83.3,23,PCM
97.36,79.04,26,66.1,82.4,64.5,44.6,30.7,Arts
90.73,48.82,27,48.3,47.3,41.9,68.7,71.4,Arts
86.18,77.17,64,43.3,88.1,45.2,72.3,33.1,PCM
93.14,78.17,23,53.3,54.1,61.1,78.5,23,PCB
87.12,43.6,76,53.2,78.7,51.9,41,48.6,PCB
89.59,79.76,24,81.3,89.9,55.6,63.4,44.1,Arts
81.17,75.89,19,44.2,80.4,57.8,75.2,31.9,PCM
93.27,77.76,34,66.3,51.9,69.2,78.4,39.7,PCM
91.25,78.91,14,56.3,68.4,49.8,50.2,35,PCB
93.38,78.34,18,66.6,88.5,68.5,73.4,27.9,PCM
93.03,77.66,13,51.8,58,59.7,69.7,23,Commerce
90.25,79.18,19,54,91.1,39.4,78.8,45.5,PCB
86,80.46,36,42.1,36.6,72.7,81.4,23,PCB
74.15,74.02,24,54.4,66.4,48.5,64.3,25.2,Commerce
95.45,76.52,12,53.7,85.4,39.7,75.5,41.7,PCB
93.74,76.27,57,62.9,40.5,45.2,67.9,29.6,Commerce
93.45,78.54,22,46.2,56.3,32.9,56.5,64.3,Arts
88.23,76.44,71,63.1,74.8,59.9,81.9,30,PCB
85.31,78.79,20,75.1,67.4,44.1,59.7,41.1,PCB
97.74,77.31,10,51.8,65.5,57.1,77,23,PCM
91.05,77.58,23,49.5,80.4,27.7,48.2,33.1,Commerce
88.63,76.72,57,45.5,67.6,59.7,72,34.9,PCM
75.54,78.7,38,70.3,64.6,59.1,89,53.3,Commerce
83.46,78.23,21,46,82.5,67.6,55.6,23,Commerce
88.99,47.87,25,60.7,41.9,48.2,68.5,39.8,PCB
96.21,74.22,14,61.4,92.5,72.8,77.6,35.6,Commerce
95.16,78.07,37,67.3,58.3,46.9,48.5,39.8,Commerce
93.41,43.96,54,72.8,90.9,50.7,66.6,23,PCM
95.43,78.75,20,66.6,85.8,43.4,75.3,23,PCB
91.61,76.52,17,35,44.5,46.6,46.8,28.7,PCB
91.5,50.34,29,57.8,74.3,79.6,50.8,33.3,PCM
88.37,75.95,14,59,83.1,34.9,51.6,50.5,PCB
88.22,80.23,23,61.1,20.6,35,72.1,23,Commerce
93.34,78.15,78,55.3,61.3,56.4,52.4,48.4,PCM
98.6,76.55,58,67.5,56.7,64.1,91,42.6,PCB
69.9,51.68,64,74.2,39,60.3,75,28.4,Commerce
91.86,81.54,47,63.3,82.2,73.4,77.4,56.8,Arts
70.99,79.92,30,57.4,58.4,48.8,77.1,52.8,PCM
90.06,75.9,50,40.5,90.9,65.1,57.7,23,Commerce
85.72,50.32,57,63.8,48.4,67,86,33.4,Commerce
95.41,75.6,15,66.4,85.6,50.9,77.8,29.3,Commerce
97.03,76.65,22,56,82.2,47.9,80.5,23,Commerce
95.3,79.01,24,57.6,76,40.6,70.2,49.7,Commerce
99.22,78.77,62,86.3,84.5,78.3,89,36.3,PCM
91.7,77.46,83,76.9,73.1,64.9,75,55.4,PCB
97.55,47.45,31,54.1,78.8,43.3,69.6,61.9,PCB
87.28,78.2,28,52,70.8,66.7,71,25.3,PCM
90.63,75.27,27,89.8,82.2,48.3,87.8,53.1,PCM
92.11,77.18,27,81.8,73.1,66.1,75.4,53.8,Commerce
84.51,78.95,61,59.4,56.9,40.3,96.8,29.2,Commerce
90.2,77.03,13,42.1,50.8,38.7,68.9,55.2,PCM
96.91,77.19,19,61.3,79.4,66.5,89.2,29.1,PCM
87.3,76.7,60,54.9,82,57.4,73.9,24.9,Commerce
88.86,81.51,28,49.9,90.6,31.3,52.8,23,Commerce
92.72,79.31,27,76.4,47,55.5,61.3,30.7,PCM
95.47,79.62,44,50.5,54.4,55.4,56.3,49.1,PCM
83.73,76.3,22,67.4,79.3,56.5,66.9,41.5,PCB
95.66,75.79,17,47.8,79.3,58.3,75.1,39.2,PCM
88.58,79.4,53,66.3,63.4,50.3,71.3,32.1,Arts
94.61,76.9,13,35,75.4,51.4,56.7,41.7,PCB
90.61,77.21,20,65.5,55.6,54.4,60.5,33.5,PCB
90.54,83.13,16,67.2,52.5,35.3,59.8,46.1,Commerce
89.45,80.17,11,51.2,49.4,51.6,56.1,23,Commerce
84.23,78.08,68,86.6,98,63.1,75.2,26.2,Commerce
90.19,40,43,63.4,81.7,76.2,49.3,29.4,PCM
97.77,77.28,25,60,40,44,65.8,24.4,PCB
92.07,43.86,41,35,56.2,37.4,49,28.3,PCB
76.86,77.51,21,42.9,74.7,34,80.7,32.8,PCB
93.58,76.71,76,68.8,52.4,71.8,68.6,27.1,Commerce
90.33,80.07,22,56.6,86.7,42.7,84.5,32.5,PCB
97.72,78.15,34,72,83.4,50.3,76.4,24.3,PCB
93.82,52.86,3,41.8,73.1,25.6,56.7,31,PCM
92.57,77.94,23,72.6,45.2,53.3,65.3,55.3,PCM
88.12,77.96,25,61,93.3,33.4,64.4,31.1,PCB
84.07,77.66,15,53.4,45.9,55.2,59.5,34.5,PCB
77.95,76.99,3,49.7,65.5,39.4,72.9,63.2,PCM
93.63,80.5,43,48.6,83.5,64.6,58.2,30,Commerce
94.5,77.66,68,87.3,78,80.3,72.2,23,PCM
91.12,78.16,23,64.3,43.6,69.4,87.9,40,PCM
86.3,83.83,27,68,54,93.8,65,47.9,PCM
99.14,55.69,34,43.1,44.4,56.7,46.4,46.8,PCM
77.98,79.53,31,68.7,90.4,69.3,61.2,48.7,Commerce
95.99,40.6,30,69.1,71.5,61.2,82.6,23,PCB
99.17,76.38,80,75.9,51.6,52.9,83.5,39.8,Commerce
88.75,79.93,27,68.3,44.4,40.4,82,23,Commerce
91.44,77,17,62.9,44,62,82.7,41.1,PCM
86.49,44.36,23,43.4,77.2,55.2,71.6,38.3,PCB
93.89,80.85,22,46.6,48.7,51,66.2,38.5,Commerce
94.6,77.04,65,48.7,83.5,77.8,53.9,34.3,PCM
75.73,77.31,65,85.6,87.9,64.6,91.6,23,PCB
92.08,80.61,27,68.1,41.6,52.9,90.4,23,Commerce
88.49,76.73,28,86,66.4,84.4,75.1,34.8,PCM
91.04,73.21,7,54.9,89.6,70.1,53.6,30,Commerce
85.91,77.2,18,56,56.6,56.9,51.1,47.8,PCB
87.24,74.28,35,59.2,74.7,62.4,36.5,34.8,PCM
96.5,41.44,26,61.3,38.6,75.7,74.5,24.1,PCM
91.78,75.49,34,64,81.4,30,57.3,23,Commerce
95.09,76.1,25,61.2,41.9,46.3,66,31,PCM
94.72,75.71,25,47,77.7,83.6,75.6,33.3,Commerce
88.44,77.93,21,35.8,80.1,48.2,56.8,25.4,PCM
65,76.85,27,75.6,77.5,35.9,72.6,36.2,Commerce
95.65,77.43,4,40.8,57.2,49.6,71.7,41.4,PCM
93.65,77.28,13,39,49.9,30.8,46,24.5,Commerce
96.99,78.31,24,59.4,49.9,33.5,70,44.4,Commerce
89.12,75.76,18,97,75.3,77.1,78.2,38.3,Commerce
87.93,78.33,17,57.4,58.7,42,80.7,44.2,Commerce
91.54,78.68,19,64.5,55.6,54.5,72.9,37.2,Commerce
78.45,80.79,28,41.5,60.2,46.7,38.2,35.8,Commerce
91.51,73.14,63,66.9,45.6,42,78.5,23.7,PCB
92.1,76.24,20,80.4,86.4,64.2,82.5,37.6,Arts
94.69,73.54,24,54.4,74.9,50.5,55.2,42.5,Commerce
93.97,76.67,35,81,67.5,77.7,71.9,63.3,PCM
88.4,76.24,64,50.6,87.1,44.5,74.1,28.4,Commerce
91.69,75.13,10,59.4,72.7,51.2,59.9,23,PCM
88.33,49.21,32,96.8,85,60.2,82.3,23,Arts
91.93,83.76,61,71.6,50,34,67.5,23,Arts
97.25,76.84,47,57.1,59.7,43.1,60,41.3,PCB
79.23,81.65,64,63.8,57.5,77.1,82.5,23,PCM
94.99,87.63,71,66.4,53.8,82.2,86.7,40.5,PCB
91.83,77.48,23,64.7,49.8,52.9,42.4,70.4,PCM
91.62,64.33,58,35,67.8,35.4,54.8,27.2,Commerce
83.83,76.5,35,61.8,81.5,66.9,69.8,23,Commerce
92.74,44.53,30,56.9,75.6,53.4,36.5,65.8,Commerce
84.09,46.83,66,73.1,84,58.9,78.8,48.3,Commerce
88.88,80.69,22,68.3,64.5,77.6,91.5,41.4,Commerce
94.36,78.54,73,61,83.1,62.2,87.3,33.4,PCM
93.9,81.26,18,56.3,46.3,34.7,58.8,30.6,Commerce
93.58,80.68,50,64.6,78,53.6,63.5,29.4,PCM
88.52,75.08,13,62.9,83.7,77.9,64.9,58.1,Commerce
97.1,80.62,75,80.5,74.9,58.4,83.9,35.6,Commerce
95.12,55.85,48,49.5,60,57.6,63.2,45.4,Commerce
86.7,49.22,58,59.5,78.7,54,77.3,31.6,PCM
94.05,77.07,21,73.7,50,62.7,63.3,39.4,Commerce
86.68,80.06,17,65.8,92,51.6,44.6,37.7,PCB
95.99,77.49,14,80.6,59.1,60.7,62,34.8,Commerce
92.49,76.41,25,61.7,47.9,79.5,71.6,23,PCM
81.08,79.45,68,63.2,18.5,50.3,77.7,34.2,PCB
89.74,78.67,15,50.8,80.5,57.6,68,31.2,Commerce
96.78,74.54,22,82,97.7,97,99,23,PCM
77.83,78.47,8,46.8,66.2,34.4,57.7,25.4,Commerce
89.09,74.49,23,71.3,57.8,63.2,69.9,26.4,PCB
65,75.58,53,54.5,83.9,50.9,66.4,23,PCB
88.63,79.35,23,67.1,87.6,50.3,59.1,33.2,PCB
93.41,77.06,48,60,82.3,43.6,76.1,33.2,PCM
87.04,78.72,18,47.6,83.5,69.8,52.6,23,PCB
96.11,80.41,25,80.8,50.4,27.9,71.1,33.8,PCB
94.91,81.14,75,61,92.3,76.7,80.7,30.5,Commerce
89.37,40,32,40.2,57.2,49.3,41.4,23,Commerce
93.8,41.56,9,35,46.7,40,55.2,23,Arts
88.15,79,58,60.3,88,44.1,49.5,23,Commerce
92.62,77.61,26,61.4,70.5,43.9,67.9,28.3,PCM
81.58,74.9,44,73.1,89.6,85.5,89.8,23,PCB
69.17,75.43,28,69.9,82,53.1,77.5,23,PCM
92.21,54.49,57,55,62.3,55.2,73.5,31.7,Arts
94.65,78.2,11,49.6,87.1,45.3,83,30.3,PCM
92.12,43.03,16,51.3,71.3,44.5,50.6,33.5,Commerce
93.88,78.14,69,69.7,86.6,72.8,88.2,37,Commerce
92.31,77.57,6,44.8,62.6,37.8,59.6,36.4,PCM
88.67,76.5,14,40.6,41.2,17,56.3,35.4,Commerce
94.82,75.13,19,42.1,65.3,72.4,54.3,32.4,PCM
88.29,41.26,9,54.9,95,41.8,67.8,36.6,Commerce
93.97,40,22,61.1,78.9,53,43.7,31.3,Commerce
97.13,78.66,27,52.1,84.5,58.8,73.9,39.3,Commerce
90.44,77.02,23,69.6,40.4,50.1,49.2,49.1,Commerce
89.56,79.58,64,56.2,62,69,57.6,35.5,PCM
95.64,76.58,11,40.3,51,64.2,60.3,30.8,PCB
97.02,82.98,6,41.5,53.6,36.1,63.3,37.9,PCM
92.38,79.68,49,41.5,96,69.9,48.7,23.7,PCM
88.02,74.43,56,80.9,93,59.2,69,25.1,PCM
98.43,76.07,24,44.5,71.5,57.5,47.3,34.1,Commerce
87.46,40,29,56.1,55.4,46.1,78.6,23,PCB
84.17,77.11,18,66.3,69.5,83.6,82.6,28.1,Commerce
83.09,77.87,12,51.2,72.2,40.6,63.7,23,PCB
72.74,80.02,11,62.6,87.3,36.1,56.6,41.3,PCM
93.33,81.1,10,48.3,46.1,37.2,56.3,53.7,Commerce
79.06,74.97,3,43,52,46.8,58.6,25,PCM
80.64,76.02,6,62.3,78.7,87.5,72.7,23,Commerce
92.25,76.55,83,88.4,80.6,97,81.3,24.7,Commerce
70.19,45.69,19,55.6,50.4,31.2,59.6,51.6,Commerce
86.32,78.99,15,36.2,46.4,25.3,64.1,30.1,Commerce
84.25,75.57,17,77.7,86,75.8,52.1,30.6,PCB
94.29,77.15,66,72.6,57.3,80.8,93.2,23,Commerce
91.84,79.51,13,81.7,73.9,63.8,61,31.7,Commerce
96.9,75.64,74,48.1,56.9,58,96.1,35.9,Arts
90.14,81.64,30,88,57.6,59.1,65.5,31.2,Arts
89.29,77.72,41,69.3,80.5,58.7,44.3,28.5,PCM
80.64,40,57,55.2,90.7,73.7,67.9,34.3,PCB
94.73,76.08,82,56,85.1,62.8,64.1,27.7,Commerce
91.34,73.76,33,72,79.9,92.7,88.4,23,PCB
96.1,53.82,23,60.3,83.2,62.6,63.6,26.1,Commerce
93.66,77,49,51.7,55.4,46.4,86.9,36,PCB
99.22,78.95,11,61.7,53.6,30.2,57.2,36.7,PCM
93.17,75.8,20,41.9,75.3,52.8,73.6,32.9,Arts
94.99,86.03,60,67.3,70.7,66.9,69.6,23,Commerce
93.25,76.43,26,48.7,72.9,65.9,63.9,39.4,Commerce
87.43,84.93,50,55.3,63.7,71.1,48,27.9,PCM
97.87,79.78,70,49,46.9,54.5,57.4,31.7,PCM
77.88,79.15,68,73.4,42.8,94.7,64.4,23,PCB
74.41,76.83,32,42.2,42.9,45.8,52.7,46.4,PCM
94.15,49.88,29,48.4,62.1,69.7,71.4,30.9,PCB
93.66,76.13,63,82.7,76.9,69.1,82.4,43.7,Commerce
92.98,80.43,29,46.7,49.1,43.3,64.9,45.4,PCM
92.86,76.51,22,49.2,87.3,61.9,61,23,PCM
94.17,75.74,31,57.8,85.4,66.7,67.6,50.6,PCM
71.77,82.3,24,64.2,27.2,85.4,70.2,43,PCB
98.4,73.41,16,55.5,75.8,48.4,60,39.3,PCB
97.18,77.12,10,43.5,82.3,61.3,73.7,24.5,Commerce
84.5,76.88,46,61.9,96.4,36.2,87.5,23.9,PCB
84.61,86.64,3,48,59.6,55.8,93,23,PCM
90.17,67.53,51,47.8,50.4,24.7,51.4,51.9,PCM
94.05,79.33,17,51.6,58.8,70.6,76.4,46.7,PCB
92.3,85.51,48,58.8,40.4,44.2,78.6,46.1,Commerce
96.22,40,24,71.7,75.3,76.8,66.2,26,Arts
94.08,77.89,19,47.6,59.3,69.4,62.9,32.6,Commerce
94.09,76.49,27,94.9,48,55.3,86.1,37.2,PCB
84.55,76.72,14,56.8,27.6,46.8,70.4,42.9,PCB
93.43,40,62,98,59.7,57.4,71,39.2,PCB
87.2,79.74,17,61.6,81.3,66.7,73.1,37.4,PCM
89.78,76.56,15,57.5,90.5,76.6,56.9,35.8,PCM
92.99,76.32,61,77.3,82.9,75.7,48.6,42,Commerce
89.11,75.9,51,69.9,77.6,49.7,54.5,23,PCM
87.54,77.65,6,52,63.7,56.3,69.4,51.9,Commerce
84.13,79.37,25,61.8,53.9,48.3,61.1,31.6,PCM
92.59,78.18,54,62.2,92.7,57.1,67.8,23,PCM
84.87,77.12,34,63.5,63,55.7,97.2,45.5,Commerce
94.59,74.35,17,78.2,48.7,78.6,82.8,23,PCB
97.61,42.03,16,49.2,83.6,42.1,57.8,23,Commerce
97.57,81.01,16,63.3,63.3,53.6,62.7,23,PCM
94.6,75.73,18,62.3,83.9,69.6,80.1,23,PCM
89.73,79.01,34,44.4,90.8,62.2,69.2,23,Arts
88.75,75.8,21,61.5,95.2,73.6,84.2,30.6,Commerce
87.97,78.57,15,45,82,23.7,94.4,30,Commerce
85.35,78.31,38,50,96.6,36,63,37.7,Arts
89.15,79.98,26,59.9,52.4,51.1,94.6,30.6,Commerce
91.95,75.27,22,57.2,74.3,29.9,48,27,Commerce
98.58,77.01,32,84.8,66.1,90.7,89,30.9,PCB
96.31,76.24,11,59.2,47,41.6,51.1,40.7,Commerce
91.63,78.91,19,73.6,86.2,71,60.8,36,PCM
99.22,80.19,63,45.5,49.9,35,58.9,37.6,Commerce
86.79,79.41,41,37.3,63.6,19.7,78.3,63.7,Commerce
97.95,78.74,33,77.3,64,57.2,66.3,24,PCM
92.44,76.54,28,59.8,49.8,65.6,77.6,53.4,PCM
89.7,78.61,20,73.1,69.9,79.5,67.2,27.4,PCB
94.31,77.65,18,39.7,46.4,35.7,57.2,51.3,PCB
90.99,82.69,81,74.8,91.9,39.2,63.4,40.1,Arts
93.11,74.42,16,50.1,75.6,85.6,84.9,30.1,Commerce
97.29,76.48,22,94.3,94.3,58.2,67.3,28.2,PCM
93.41,82.66,19,66.7,79,54.6,86.8,34.3,Commerce
80.57,43.72,3,53.6,52.6,44.5,75.6,26.7,PCB
78.1,78.19,56,53.7,70.9,61.1,64.9,52.7,Arts
97.65,45.37,13,68.7,87.7,56.8,86.7,32.5,Commerce
92.69,75.69,20,45.5,71,60.8,77.8,23,PCB
69.38,85.96,5,55.1,89.8,33.2,73.4,54.6,Arts
97.7,75.81,31,75,84.4,80,82.9,26.2,Commerce
99.22,78.24,16,44.9,41.7,29.8,63.8,25.5,Commerce
84.13,80.88,26,53.6,54.9,19.7,77.5,59.2,PCM
98.5,79.19,18,53.6,94.7,50.1,61.8,31.5,Commerce
96.72,79.41,73,35,57.4,49.9,63.1,31.5,Commerce
93.69,74.46,13,52.7,94.5,44.3,75.2,23,Commerce
76.89,80.73,14,57.1,60.6,51.8,60.9,31.6,PCB
77.55,75.92,16,83.8,55.8,74.5,74.1,23,Arts
77.36,76.08,17,57.8,86.1,79.9,72.9,30.4,Commerce
98.67,76.59,17,71.9,56.4,67,70.6,30.2,PCM
88.04,75.98,13,50.5,48.2,55.7,69.8,36.7,PCB
95.84,77.72,69,69.2,53.4,44.9,95.6,23,Commerce
76.68,77.22,69,76.5,82.3,38.7,70.2,23,Commerce
96.75,74.95,19,58.3,51.9,46.7,48.5,44.1,PCB
94.13,52.02,48,52.3,61.7,55.5,61,25.7,Commerce
95.56,76.67,20,46.2,84.4,43.7,73.3,26.3,PCB
91.73,77.84,12,62.5,39.4,43.4,62.2,23,Commerce
70.39,75.64,35,53.5,74.7,66.5,76,47.2,Commerce
89.27,78.87,47,60.6,84.5,87.9,60,26,PCB
84.58,80.97,19,80.2,94.1,73.6,64.3,25.2,Commerce
89.7,54.82,7,36.2,74.9,45.8,72.3,35.4,Commerce
86.75,51.91,47,66.6,54.3,64.6,71.8,36.3,PCM
91,79.94,64,38.1,45.1,52.6,59.1,66.1,Commerce
92.4,76.87,18,65.3,89.5,75.4,68.5,23,PCM
83.89,96.9,30,75.6,64.6,39.3,88.7,25.3,PCM
73.76,80.59,20,62.9,42.1,50.9,69.7,51,PCM
90.89,75.45,11,53,50.4,50.8,57,23,PCM
87.94,80.33,40,40.6,56.7,62.5,44.8,25.1,PCM
93.84,81.43,17,65.7,73.9,61.9,48.7,32.7,PCM
89.74,77.83,36,60.5,79.8,72.4,65.9,23,PCM
87.8,75.45,14,53.8,42.6,65.8,72.4,31.2,PCB
88.29,80.36,25,60.5,66,64.3,60.5,53.5,PCM
88.27,81.18,6,46.6,47.8,54,70.3,32.1,PCB
99.22,76.11,12,73.7,77.9,53,86.8,23,Commerce
96.75,86.3,12,53.7,50.6,39.8,79.9,23,Commerce
92.95,78.1,22,35,81.7,39.1,73.1,27.8,Arts
76.04,43.1,30,58.8,81.4,42.6,61.8,51.5,Arts
87.75,77.84,25,80,59.4,79.8,86.2,26.3,Arts
88.92,76.92,26,36.9,57.1,40.1,50,44.9,PCM
87.13,48.88,28,50.1,50.9,39.6,63.9,42.3,PCB
88.94,76.77,63,71.5,78.7,57.8,87.3,23,PCB
86.66,79.27,11,53.3,52.3,82.7,58.7,46.7,Arts
95.07,78.06,34,68,80.3,75.8,75,53.5,PCM
94.25,77.44,27,49.3,67.8,61.8,60.6,23,Commerce
98.13,76.28,79,57.4,82.6,55,44.7,23,PCM
90.76,44.49,11,52.9,69.5,53.2,65.2,29.3,Commerce
92.78,74.77,41,57,41.6,63.6,56.5,23.3,PCB
91.55,78.88,57,84.3,92,67.3,88.4,36.9,Commerce
99.22,82.22,51,57.6,91.7,70.8,51.7,23,Commerce
92.36,77.57,29,45.8,74.6,40.2,77.4,26.3,PCB
92.75,77.1,22,57,83.9,65.7,57.9,51.6,Arts
92.42,78.03,61,48.1,84.1,61.7,74.7,29.9,PCM
94.34,77.03,82,74,55.9,62.5,73.4,39.3,PCM
93.11,40,58,64.2,83.5,58.6,54.2,32.6,Commerce
95.73,85.09,41,75.5,81,49.6,91.1,23,Commerce
91.17,83.46,25,47.7,86.3,50.6,73.7,30.8,Commerce
99.22,78.17,14,48.8,56.7,44.3,65.2,23,Commerce
69.7,77.94,24,56.7,61.5,34.2,65,62,Commerce
97.74,79.76,51,62.4,90.9,55.7,65.3,48.5,PCB
94.19,77.79,23,79,46.3,53.7,75.8,23,Commerce
90.9,79.55,29,55.3,69.9,70,51.7,24.2,PCM
84.09,91.82,8,52.1,43,53.2,57,42.6,PCM
74.29,79.22,63,44.1,45,54.4,53.3,28.5,Commerce
84.46,74.96,48,61.1,84.9,58.9,59.7,24.9,PCM
86.83,82.89,11,52.3,72.9,55.7,48.8,23,PCB
91.34,76.45,22,80,85.5,65.5,79.4,23,Commerce
86.64,77.16,65,55.1,56.9,64.3,76.1,30.6,Commerce
88.92,79.02,11,39,52.3,53.1,57.8,38.1,PCB
94.46,77.3,20,81.1,89.6,56.2,69.7,23,Commerce
92.66,83.09,22,46.7,72.6,42.5,56.3,40.3,PCB
65,74.64,18,41.1,71.1,63.4,62.8,47,PCB
95.3,47.19,51,77,60.6,31.1,94,45.7,PCB
99.22,75.55,73,67,90.6,43.3,84,23,PCM
98.99,77.39,25,35.1,53.8,38.3,64.6,36.9,PCM
86.66,77.21,19,63.1,79.6,72.5,53.8,34.5,Commerce
92.68,82,43,56.3,80.3,29.7,68.7,23,PCB
90.96,76.19,67,61.5,87.3,46.9,59.3,41.3,PCB
88.51,83.32,58,87.4,83.9,53.2,65,23,Commerce
88.02,78.07,7,68.6,72.8,63.1,54.7,38,PCM
88.55,78.94,13,35.3,53.5,55.7,63.5,27.2,PCM
88.93,78.28,18,56.7,83.3,56.9,64.2,23,PCB
81.58,75.96,16,60.1,94.4,66.1,73.6,27.3,PCB 
93.96,41.37,19,75.2,84.5,47.2,65,49.3,PCB
91.18,77.4,17,66.1,77.5,48,87.8,27.8,Commerce
70.47,79.33,36,50.3,90.5,46.2,43.5,42.1,PCM
96.37,53.96,24,61,54.3,67.9,81.5,26.5,Commerce
89.55,74.13,31,72.4,84.6,79.6,84.3,25.4,PCB
79.23,54.99,20,59.8,63,61.5,66.7,33.4,PCB
93.03,76.54,77,41.4,58,64.8,69.2,35.4,PCM
90.41,77.79,61,59.4,76.6,57.8,51.3,42,PCM
90.13,77.38,49,48.7,61.8,53.5,65.9,48.5,PCB
99.22,75.09,10,81.4,86.3,63.8,64.9,42.5,Arts
94.32,80.63,16,35,52.9,38.7,86.1,23,PCM
98.04,74.98,23,62.5,82.8,66.2,75.9,37.4,PCB
94.27,79.27,49,46.1,62.5,47.2,71,23,PCB
92.26,77.42,44,35,85.4,36.4,57.3,23,Commerce
85.73,77.01,15,66.2,71.4,66.1,69.2,23,PCM
89.64,76.98,22,54.6,55.6,41.4,78.1,50,Commerce
90.21,79.68,26,69.7,84.8,62,71.3,23,PCM
98.87,76.13,18,67.9,77.4,60.9,57.2,23,Commerce
87.68,75.67,7,79.1,40.8,45.7,74.2,44.5,PCB
93.62,79.55,67,57.3,85.4,46.5,69.9,40.2,PCB 
86.11,77.7,18,57.8,64.6,63.1,66.2,53.6,PCB
92.99,40,18,62.2,64.8,60.6,65.9,25,Arts
91.62,45.18,14,51.5,41.8,41.4,68.3,42,Commerce
93.88,79.43,57,70.7,76.9,62.5,96.8,33.3,PCB
76.37,75.23,33,48.5,62.7,43.2,75.1,45.1,PCB
88.74,77.94,3,77.8,75.4,57.3,81.4,43.9,PCM
88.35,46.9,6,40.6,54.6,52,39.3,47.1,PCB 
90.53,40,43,85.3,58.9,58.4,68.3,31.2,PCM
94.72,77.76,7,63.4,67.1,31.7,61.5,23,PCM
